id,annotation_collection,text,tag,property,values
CATMA_95259D62-E441-4009-AD8D-7F5124BF2323,bettelweib-event_type-michael,"Am Fuße der Alpen, bei Locarno im oberen Italien, befand sich ein  altes, einem Marchese gehöriges Schloß",stative_event,characters,marquis
CATMA_AB9A223C-C6F7-495A-817F-ED57E1B69A70,bettelweib-event_type-michael,das man jetzt in Schutt und Trümmern liegen sieht,process_event,intentional,yes
CATMA_AB9A223C-C6F7-495A-817F-ED57E1B69A70,bettelweib-event_type-michael,das man jetzt in Schutt und Trümmern liegen sieht,process_event,characters,
CATMA_2A4C8A4E-2842-44D2-B2E2-F9A6AE2B8063,bettelweib-event_type-michael,wenn man  vom St. Gotthard kommt,non_event,characters,
CATMA_8AA5E4FC-DCD3-42B2-AFD9-F98208B20297,bettelweib-event_type-michael,ein  Schloß mit hohen und weitläufigen Zimmern,non_event,characters,
CATMA_89F0B656-31B9-42EB-B422-D6A66F499F7C,bettelweib-event_type-michael,"in deren einem einst,  auf Stroh, das man ihr unterschüttete, eine alte kranke Frau von der Hausfrau aus  Mitleiden gebettet worden war",process_event,intentional,yes
CATMA_89F0B656-31B9-42EB-B422-D6A66F499F7C,bettelweib-event_type-michael,"in deren einem einst,  auf Stroh, das man ihr unterschüttete, eine alte kranke Frau von der Hausfrau aus  Mitleiden gebettet worden war",process_event,characters,"bettelweib,marquise"
CATMA_37948333-679E-4EF7-9778-D6AEE7F4008B,bettelweib-event_type-michael,die  sich bettelnd vor der Tür eingefunden hatte,process_event,intentional,yes
CATMA_37948333-679E-4EF7-9778-D6AEE7F4008B,bettelweib-event_type-michael,die  sich bettelnd vor der Tür eingefunden hatte,process_event,characters,bettelweib
CATMA_A7833A58-E75D-4338-91F4-DA0589316D34,bettelweib-event_type-michael,"Der Marchese befahl der Frau unwillig, aus dem Winkel aufzustehen, und sich hinter den Ofen zu  verfügen",process_event,intentional,yes
CATMA_A7833A58-E75D-4338-91F4-DA0589316D34,bettelweib-event_type-michael,"Der Marchese befahl der Frau unwillig, aus dem Winkel aufzustehen, und sich hinter den Ofen zu  verfügen",process_event,characters,"bettelweib,marquis"
CATMA_578628FA-CFED-4C51-8479-3657A1ED73E1,bettelweib-event_type-michael,"der, bei der Rückkehr  von der Jagd, zufällig in das Zimmer trat",process_event,intentional,yes
CATMA_578628FA-CFED-4C51-8479-3657A1ED73E1,bettelweib-event_type-michael,"der, bei der Rückkehr  von der Jagd, zufällig in das Zimmer trat",process_event,characters,marquis
CATMA_A655D437-2634-41DB-9FFD-2A3178DFD97C,bettelweib-event_type-michael,wo er seine Büchse  abzusetzen pflegte,process_event,intentional,yes
CATMA_A655D437-2634-41DB-9FFD-2A3178DFD97C,bettelweib-event_type-michael,wo er seine Büchse  abzusetzen pflegte,process_event,characters,"marquis,bettelweib"
CATMA_D73EC7B6-2E76-4B16-AE71-507D129EE30A,bettelweib-event_type-michael,in  welchem sie lag,process_event,intentional,yes
CATMA_D73EC7B6-2E76-4B16-AE71-507D129EE30A,bettelweib-event_type-michael,in  welchem sie lag,process_event,characters,bettelweib
CATMA_D2230D38-6DE0-4CC0-81D5-F275586526E1,bettelweib-event_type-michael,Die Frau glitschte mit der Krücke  auf dem glatten Boden aus,process_event,intentional,yes
CATMA_D2230D38-6DE0-4CC0-81D5-F275586526E1,bettelweib-event_type-michael,Die Frau glitschte mit der Krücke  auf dem glatten Boden aus,process_event,characters,"bettelweib,marquis"
CATMA_27993E3A-1FE9-420F-A1FC-986B9D168DCC,bettelweib-event_type-michael,da sie sich erhob,process_event,intentional,yes
CATMA_27993E3A-1FE9-420F-A1FC-986B9D168DCC,bettelweib-event_type-michael,da sie sich erhob,process_event,characters,"bettelweib,import_character"
CATMA_9940CFA8-0D0E-4FA5-B159-4411BBFD7733,bettelweib-event_type-michael,"und beschädigte sich, auf eine  gefährliche Weise, das Kreuz",process_event,intentional,no
